parameter,i,j,value
class,42,5,0.16263759
class,42,6,0.15366906
class,42,7,0.16154766
class,42,8,0.19846748
class,42,9,0.26811633
class,43,0,0.072508685
class,43,1,0.94443184
class,43,2,0.18964872
class,43,3,0.103625104
class,43,4,0.80411226
class,43,5,0.94436723
class,43,6,0.8650102
class,43,7,0.92559344
class,43,8,0.9094015
class,43,9,0.09508796
class,44,0,0.18297952
class,44,1,0.14683133
class,44,2,0.9232639
class,44,3,0.9311383
class,44,4,0.40856892
class,44,5,0.8616161
class,44,6,0.09790873
class,44,7,0.8779206
class,44,8,0.9326171
class,44,9,0.14604244
class,45,0,0.18252459
class,45,1,0.92059916
class,45,2,0.7493363
class,45,3,0.9285347
class,45,4,0.20099191
class,45,5,0.8820395
class,45,6,0.89090675
class,45,7,0.9183846
class,45,8,0.07580706
class,45,9,0.062602326
class,46,0,0.1061838
class,46,1,0.9220276
class,46,2,0.95153546
class,46,3,0.093978226
class,46,4,0.16771406
class,46,5,0.91527367
class,46,6,0.08478205
class,46,7,0.84824026
class,46,8,0.94884765
class,46,9,0.71544385
class,47,0,0.8805393
class,47,1,0.86897004
class,47,2,0.10904475
class,47,3,0.8881168
class,47,4,0.17687306
class,47,5,0.71453387
class,47,6,0.08699795
class,47,7,0.8939105
class,47,8,0.48103794
class,47,9,0.099865936
class,48,0,0.13796884
class,48,1,0.83788496
class,48,2,0.11717998
class,48,3,0.8104302
class,48,4,0.83882624
class,48,5,0.20352608
class,48,6,0.103434965
class,48,7,0.11695232
class,48,8,0.107099354
class,48,9,0.8791565
class,49,0,0.90611476
class,49,1,0.08177562
class,49,2,0.94477254
class,49,3,0.12046126
class,49,4,0.13806543
class,49,5,0.8625424
class,49,6,0.9209344
class,49,7,0.9116115
class,49,8,0.8839223
class,49,9,0.6903276
class,50,0,0.88841903
class,50,1,0.93900573
class,50,2,0.8035278
class,50,3,0.92166954
class,50,4,0.23571323
class,50,5,0.89179397
class,50,6,0.91606885
class,50,7,0.056549188
class,50,8,0.12583789
class,50,9,0.93163306
class,51,0,0.07760691
class,51,1,0.212968
class,51,2,0.50670826
class,51,3,0.09437339
class,51,4,0.13785914
class,51,5,0.828246
class,51,6,0.8478856
class,51,7,0.8666127
class,51,8,0.8709472
class,51,9,0.06747264
class,52,0,0.10759317
class,52,1,0.8648597
class,52,2,0.5744548
class,52,3,0.17124349
class,52,4,0.9210379
class,52,5,0.92022896
class,52,6,0.45350632
class,52,7,0.1289744
class,52,8,0.08638975
class,52,9,0.1763389
class,53,0,0.11343918
class,53,1,0.90615076
class,53,2,0.24771374
class,53,3,0.07202539
class,53,4,0.16898198
class,53,5,0.57767314
class,53,6,0.08567188
class,53,7,0.22047545
class,53,8,0.15591913
class,53,9,0.099811204
class,54,0,0.8861215
class,54,1,0.895688
class,54,2,0.061919317
class,54,3,0.053922538
class,54,4,0.76645356
class,54,5,0.090563305
class,54,6,0.15419072
class,54,7,0.18294565
class,54,8,0.26391843
class,54,9,0.8472044
class,55,0,0.93824494
class,55,1,0.93512833
class,55,2,0.15372832
class,55,3,0.96016914
class,55,4,0.9122707
class,55,5,0.94188416
class,55,6,0.14742362
class,55,7,0.03899865
class,55,8,0.88113457
class,55,9,0.94923556
class,56,0,0.080944106
class,56,1,0.9298586
class,56,2,0.871163
class,56,3,0.1250309
class,56,4,0.93636215
class,56,5,0.8962601
class,56,6,0.9439876
class,56,7,0.92062616
class,56,8,0.049910665
class,56,9,0.8918252
class,57,0,0.10176513
class,57,1,0.16475181
class,57,2,0.84530294
class,57,3,0.15871727
class,57,4,0.8319102
class,57,5,0.9178777
class,57,6,0.18594283
class,57,7,0.8011009
class,57,8,0.07816384
class,57,9,0.90765303
class,58,0,0.8957889
class,58,1,0.087930076
class,58,2,0.4603725
class,58,3,0.90392876
class,58,4,0.1413123
class,58,5,0.93683755
class,58,6,0.7649098
class,58,7,0.9262205
class,58,8,0.18265826
class,58,9,0.7954123
class,59,0,0.768774
class,59,1,0.0810189
class,59,2,0.18397234
class,59,3,0.0860058
class,59,4,0.13463254
class,59,5,0.67307615
class,59,6,0.10892212
class,59,7,0.09318423
