parameter,i,j,value
class,3890,7,0.9083919
class,3890,8,0.08673361
class,3890,9,0.90835214
class,3891,0,0.9113497
class,3891,1,0.85473007
class,3891,2,0.40626052
class,3891,3,0.8985662
class,3891,4,0.116536856
class,3891,5,0.06423434
class,3891,6,0.14920619
class,3891,7,0.104260474
class,3891,8,0.1736412
class,3891,9,0.5471008
class,3892,0,0.8766983
class,3892,1,0.07329781
class,3892,2,0.7082143
class,3892,3,0.17192568
class,3892,4,0.15527864
class,3892,5,0.7110317
class,3892,6,0.07886242
class,3892,7,0.8117476
class,3892,8,0.851321
class,3892,9,0.093152046
class,3893,0,0.9616111
class,3893,1,0.90039307
class,3893,2,0.94689447
class,3893,3,0.9558808
class,3893,4,0.94784576
class,3893,5,0.089602746
class,3893,6,0.9569315
class,3893,7,0.18401636
class,3893,8,0.9509089
class,3893,9,0.93510526
class,3894,0,0.92314017
class,3894,1,0.94338083
class,3894,2,0.76156634
class,3894,3,0.16197425
class,3894,4,0.92094994
class,3894,5,0.91269106
class,3894,6,0.92405945
class,3894,7,0.9338305
class,3894,8,0.055759612
class,3894,9,0.10159165
class,3895,0,0.11831903
class,3895,1,0.113367155
class,3895,2,0.24851122
class,3895,3,0.22110403
class,3895,4,0.73460984
class,3895,5,0.8681488
class,3895,6,0.086977586
class,3895,7,0.8493535
class,3895,8,0.16598944
class,3895,9,0.14524245
class,3896,0,0.8168363
class,3896,1,0.8030484
class,3896,2,0.15282184
class,3896,3,0.83171415
class,3896,4,0.19132547
class,3896,5,0.1332631
class,3896,6,0.8137741
class,3896,7,0.13544361
class,3896,8,0.09518534
class,3896,9,0.11064774
class,3897,0,0.85231215
class,3897,1,0.09435681
class,3897,2,0.09404159
class,3897,3,0.88530403
class,3897,4,0.6858979
class,3897,5,0.3973808
class,3897,6,0.8006259
class,3897,7,0.12108867
class,3897,8,0.63515973
class,3897,9,0.08993019
class,3898,0,0.18127489
class,3898,1,0.17243603
class,3898,2,0.9358273
class,3898,3,0.93134254
class,3898,4,0.95274353
class,3898,5,0.9538059
class,3898,6,0.91774017
class,3898,7,0.8831192
class,3898,8,0.96218354
class,3898,9,0.095744155
class,3899,0,0.73242295
class,3899,1,0.083167404
class,3899,2,0.76931846
class,3899,3,0.22114702
class,3899,4,0.8394982
class,3899,5,0.14991248
class,3899,6,0.15111452
class,3899,7,0.13198681
class,3899,8,0.1434193
class,3899,9,0.21138321
class,3900,0,0.1995631
class,3900,1,0.8833275
class,3900,2,0.076120384
class,3900,3,0.84213865
class,3900,4,0.4476658
class,3900,5,0.1017579
class,3900,6,0.93866396
class,3900,7,0.89604676
class,3900,8,0.81682444
class,3900,9,0.8553802
class,3901,0,0.9605629
class,3901,1,0.91576964
class,3901,2,0.08621452
class,3901,3,0.92341286
class,3901,4,0.9285142
class,3901,5,0.96293616
class,3901,6,0.92537993
class,3901,7,0.93792456
class,3901,8,0.9437793
class,3901,9,0.36596248
class,3902,0,0.86275285
class,3902,1,0.90533125
class,3902,2,0.23336998
class,3902,3,0.92403036
class,3902,4,0.42269596
class,3902,5,0.07460859
class,3902,6,0.28367034
class,3902,7,0.066665486
class,3902,8,0.8634109
class,3902,9,0.855026
class,3903,0,0.09705544
class,3903,1,0.93931997
class,3903,2,0.8946297
class,3903,3,0.91443425
class,3903,4,0.14269699
class,3903,5,0.9228992
class,3903,6,0.937822
class,3903,7,0.9229766
class,3903,8,0.9259147
class,3903,9,0.21625797
class,3904,0,0.95093447
class,3904,1,0.94317955
class,3904,2,0.9138086
class,3904,3,0.9583794
class,3904,4,0.92546266
class,3904,5,0.9450934
class,3904,6,0.93923426
class,3904,7,0.19348745
class,3904,8,0.062099796
class,3904,9,0.041537195
class,3905,0,0.16444166
class,3905,1,0.22060992
class,3905,2,0.9031737
class,3905,3,0.93912286
class,3905,4,0.16087858
class,3905,5,0.2885635
class,3905,6,0.87752205
class,3905,7,0.912495
class,3905,8,0.08155006
class,3905,9,0.7334888
class,3906,0,0.1567069
class,3906,1,0.8676079
class,3906,2,0.42064562
class,3906,3,0.87651765
class,3906,4,0.2836778
class,3906,5,0.13901009
class,3906,6,0.8537582
class,3906,7,0.89068
class,3906,8,0.079929955
class,3906,9,0.11183876
class,3907,0,0.06932173
class,3907,1,0.10528499
class,3907,2,0.92636764
class,3907,3,0.8673107
class,3907,4,0.1321531
class,3907,5,0.13852006
class,3907,6,0.8257237
class,3907,7,0.873913
class,3907,8,0.90656245
class,3907,9,0.5182274
class,3908,0,0.81324506
class,3908,1,0.939207
class,3908,2,0.117933266
class,3908,3,0.079419486
class,3908,4,0.25886327
class,3908,5,0.880605
class,3908,6,0.1081151
class,3908,7,0.08086854
class,3908,8,0.830037
class,3908,9,0.18834911
class,3909,0,0.9105606
class,3909,1,0.87429017
class,3909,2,0.109495565
class,3909,3,0.8819292
class,3909,4,0.8948579
class,3909,5,0.18039292
class,3909,6,0.06422866
class,3909,7,0.9089285
class,3909,8,0.85087204
class,3909,9,0.85041314
class,3910,0,0.08789138
class,3910,1,0.8001782
class,3910,2,0.053216644
class,3910,3,0.08060254
class,3910,4,0.8487268
class,3910,5,0.3295244
class,3910,6,0.2273672
class,3910,7,0.101302005
class,3910,8,0.7453568
class,3910,9,0.8806425
class,3911,0,0.8291858
class,3911,1,0.10315475
class,3911,2,0.1234909
class,3911,3,0.08893979
class,3911,4,0.13315111
class,3911,5,0.46815366
class,3911,6,0.75588804
class,3911,7,0.0812047
class,3911,8,0.87778395
class,3911,9,0.13896106
class,3912,0,0.15030614
class,3912,1,0.07272241
class,3912,2,0.2604142
class,3912,3,0.8999899
class,3912,4,0.8997404
class,3912,5,0.11939632
class,3912,6,0.44440866
class,3912,7,0.88834816
class,3912,8,0.09758878
class,3912,9,0.9062307
class,3913,0,0.0868794
class,3913,1,0.041873947
class,3913,2,0.82571685
class,3913,3,0.20037615
class,3913,4,0.90135956
class,3913,5,0.22997332
class,3913,6,0.8669902
class,3913,7,0.09735595
class,3913,8,0.1081558
class,3913,9,0.79562217
class,3914,0,0.8347609
class,3914,1,0.073305264
class,3914,2,0.7623324
class,3914,3,0.9177372
class,3914,4,0.94441533
class,3914,5,0.9231475
class,3914,6,0.44379607
class,3914,7,0.9177336
class,3914,8,0.07317331
class,3914,9,0.12124951
class,3915,0,0.77996504
class,3915,1,0.9449112
class,3915,2,0.16563646
class,3915,3,0.9075696
class,3915,4,0.90771556
class,3915,5,0.9483888
class,3915,6,0.87599254
class,3915,7,0.08883398
class,3915,8,0.28583524
class,3915,9,0.09036836
class,3916,0,0.11776992
class,3916,1,0.94140416
class,3916,2,0.9132904
class,3916,3,0.12510973
class,3916,4,0.11077672
class,3916,5,0.10320644
class,3916,6,0.8877016
class,3916,7,0.9295305
class,3916,8,0.90865535
class,3916,9,0.30892745
class,3917,0,0.9319439
class,3917,1,0.9422284
class,3917,2,0.8827603
class,3917,3,0.10850172
class,3917,4,0.37757134
class,3917,5,0.8970177
class,3917,6,0.92498344
class,3917,7,0.108046554
class,3917,8,0.9162289
class,3917,9,0.9531888
class,3918,0,0.119867824
class,3918,1,0.8624695
class,3918,2,0.13592514
class,3918,3,0.12543555
class,3918,4,0.8113648
class,3918,5,0.17134303
class,3918,6,0.7200462
class,3918,7,0.88443476
class,3918,8,0.20911819
class,3918,9,0.12825719
class,3919,0,0.83844954
class,3919,1,0.822095
class,3919,2,0.21450266
class,3919,3,0.22547427
class,3919,4,0.79332006
class,3919,5,0.41180435
class,3919,6,0.24490342
class,3919,7,0.84964836
class,3919,8,0.83042604
class,3919,9,0.06725634
class,3920,0,0.88200784
class,3920,1,0.117523104
class,3920,2,0.1596646
class,3920,3,0.070596635
class,3920,4,0.14984079
class,3920,5,0.25167388
class,3920,6,0.73878706
class,3920,7,0.15161376
class,3920,8,0.08941711
class,3920,9,0.26773196
class,3921,0,0.12965272
class,3921,1,0.1238058
class,3921,2,0.745049
class,3921,3,0.15158656
class,3921,4,0.46357524
class,3921,5,0.110366985
class,3921,6,0.17856964
class,3921,7,0.10676564
class,3921,8,0.08972496
class,3921,9,0.1308525
class,3922,0,0.86294615
class,3922,1,0.8897814
class,3922,2,0.88200104
class,3922,3,0.06393263
class,3922,4,0.2353417
class,3922,5,0.77391493
class,3922,6,0.1980569
class,3922,7,0.12366572
class,3922,8,0.89689153
class,3922,9,0.08502986
class,3923,0,0.93285894
class,3923,1,0.058729835
class,3923,2,0.09064184
class,3923,3,0.08069209
class,3923,4,0.8119687
class,3923,5,0.10028722
class,3923,6,0.20316553
class,3923,7,0.13433415
class,3923,8,0.46946365
class,3923,9,0.8949042
class,3924,0,0.13693357
class,3924,1,0.9381923
class,3924,2,0.1738295
class,3924,3,0.058555916
class,3924,4,0.14216703
class,3924,5,0.29759178
class,3924,6,0.7822217
class,3924,7,0.13212402
class,3924,8,0.79599035
class,3924,9,0.79302096
class,3925,0,0.8988613
class,3925,1,0.91568965
class,3925,2,0.8864391
class,3925,3,0.30423048
class,3925,4,0.89466316
class,3925,5,0.9502204
class,3925,6,0.13386814
class,3925,7,0.06501674
class,3925,8,0.07317658
class,3925,9,0.89398074
class,3926,0,0.14767316
class,3926,1,0.082585424
class,3926,2,0.51296854
class,3926,3,0.10504215
class,3926,4,0.16047299
class,3926,5,0.14541794
class,3926,6,0.26146483
class,3926,7,0.12807727
class,3926,8,0.12608975
class,3926,9,0.7173134
class,3927,0,0.912528
class,3927,1,0.85948944
class,3927,2,0.24639203
class,3927,3,0.11483257
class,3927,4,0.22983564
class,3927,5,0.1756889
class,3927,6,0.10987811
class,3927,7,0.937202
class,3927,8,0.34164247
class,3927,9,0.16966036
class,3928,0,0.8985144
class,3928,1,0.9399049
class,3928,2,0.20199776
class,3928,3,0.07265046
class,3928,4,0.09129585
class,3928,5,0.8879471
class,3928,6,0.11485516
class,3928,7,0.8323467
class,3928,8,0.20713349
class,3928,9,0.43654165
class,3929,0,0.2688947
class,3929,1,0.10365282
class,3929,2,0.87302583
class,3929,3,0.8966159
class,3929,4,0.523528
class,3929,5,0.12455463
class,3929,6,0.7466276
class,3929,7,0.14028265
class,3929,8,0.12693392
class,3929,9,0.7408866
class,3930,0,0.21821785
class,3930,1,0.9358005
class,3930,2,0.9414701
class,3930,3,0.05173166
class,3930,4,0.15849468
class,3930,5,0.1863412
class,3930,6,0.15320185
class,3930,7,0.83061737
class,3930,8,0.8891976
class,3930,9,0.14946388
class,3931,0,0.922757
class,3931,1,0.09583491
class,3931,2,0.729053
class,3931,3,0.91644067
class,3931,4,0.32016885
class,3931,5,0.1774243
class,3931,6,0.8907356
class,3931,7,0.90664023
class,3931,8,0.8957258
class,3931,9,0.072200924
class,3932,0,0.8964135
class,3932,1,0.8715001
class,3932,2,0.84668076
class,3932,3,0.087914474
class,3932,4,0.13036154
class,3932,5,0.26715463
class,3932,6,0.13895625
class,3932,7,0.10634897
class,3932,8,0.78295374
class,3932,9,0.12799084
class,3933,0,0.06823835
class,3933,1,0.8736445
class,3933,2,0.21067803
class,3933,3,0.11103094
class,3933,4,0.19730629
class,3933,5,0.15170814
class,3933,6,0.71007276
class,3933,7,0.1872872
class,3933,8,0.078757375
class,3933,9,0.124484785
class,3934,0,0.9433526
class,3934,1,0.9449006
class,3934,2,0.9106468
class,3934,3,0.94399613
class,3934,4,0.08470828
class,3934,5,0.92658526
class,3934,6,0.9490606
class,3934,7,0.8930215
class,3934,8,0.08035475
class,3934,9,0.90740716
class,3935,0,0.1294002
class,3935,1,0.23973513
class,3935,2,0.121930085
class,3935,3,0.103025705
class,3935,4,0.7406783
class,3935,5,0.9297788
class,3935,6,0.87576056
class,3935,7,0.10206099
class,3935,8,0.9106015
class,3935,9,0.1325883
class,3936,0,0.92702377
class,3936,1,0.08373394
class,3936,2,0.17136078
class,3936,3,0.93170244
class,3936,4,0.8787534
class,3936,5,0.8633641
class,3936,6,0.14049003
class,3936,7,0.17167726
class,3936,8,0.8945701
class,3936,9,0.15057641
class,3937,0,0.9518589
class,3937,1,0.9459439
class,3937,2,0.12536734
class,3937,3,0.099334314
class,3937,4,0.9179116
class,3937,5,0.9567719
class,3937,6,0.16511118
class,3937,7,0.8930866
class,3937,8,0.91058815
class,3937,9,0.924811
class,3938,0,0.9026493
class,3938,1,0.11085096
class,3938,2,0.20380549
class,3938,3,0.0705669
class,3938,4,0.81687045
class,3938,5,0.21679734
class,3938,6,0.073774755
class,3938,7,0.8937552
class,3938,8,0.7423661
class,3938,9,0.1433217
class,3939,0,0.11541807
class,3939,1,0.3431001
class,3939,2,0.780793
class,3939,3,0.14003533
class,3939,4,0.14055265
class,3939,5,0.72322065
class,3939,6,0.7273667
class,3939,7,0.058581978
class,3939,8,0.094721936
class,3939,9,0.8888967
class,3940,0,0.92669904
class,3940,1,0.15320042
class,3940,2,0.41280404
class,3940,3,0.0921884
class,3940,4,0.94127154
class,3940,5,0.9081786
class,3940,6,0.88940597
class,3940,7,0.114999406
class,3940,8,0.089059256
class,3940,9,0.12226939
class,3941,0,0.9605564
class,3941,1,0.9174315
class,3941,2,0.09679092
class,3941,3,0.9636641
class,3941,4,0.9541062
class,3941,5,0.95229393
class,3941,6,0.9383379
class,3941,7,0.12571982
class,3941,8,0.9525496
class,3941,9,0.9560752
class,3942,0,0.05691026
class,3942,1,0.8876997
class,3942,2,0.5376281
class,3942,3,0.920999
class,3942,4,0.26005888
class,3942,5,0.18132544
class,3942,6,0.82152146
class,3942,7,0.8443404
class,3942,8,0.11739922
class,3942,9,0.11023825
class,3943,0,0.93385446
class,3943,1,0.064732336
class,3943,2,0.8922835
class,3943,3,0.92004853
class,3943,4,0.9441512
class,3943,5,0.898914
class,3943,6,0.18225296
class,3943,7,0.90211374
class,3943,8,0.14786398
class,3943,9,0.92512786
class,3944,0,0.9215281
class,3944,1,0.9534206
class,3944,2,0.92937285
class,3944,3,0.96873087
class,3944,4,0.9515191
class,3944,5,0.91845673
class,3944,6,0.95051795
class,3944,7,0.10684755
class,3944,8,0.07871123
class,3944,9,0.90866137
class,3945,0,0.8499161
class,3945,1,0.10942937
class,3945,2,0.7922034
class,3945,3,0.91222745
class,3945,4,0.88521826
class,3945,5,0.9160902
class,3945,6,0.18031222
class,3945,7,0.12288434
class,3945,8,0.06509794
class,3945,9,0.915025
class,3946,0,0.8783139
class,3946,1,0.08859524
class,3946,2,0.84509856
class,3946,3,0.09997333
class,3946,4,0.71267205
class,3946,5,0.05325219
class,3946,6,0.060066428
class,3946,7,0.9246439
class,3946,8,0.8300193
class,3946,9,0.12863544
class,3947,0,0.9609917
class,3947,1,0.11105078
class,3947,2,0.1925947
class,3947,3,0.9201511
class,3947,4,0.86378837
class,3947,5,0.66611665
class,3947,6,0.2635156
class,3947,7,0.2032082
class,3947,8,0.13313068
class,3947,9,0.8914888
class,3948,0,0.91286355
class,3948,1,0.94985574
class,3948,2,0.88027745
class,3948,3,0.9591314
class,3948,4,0.83892274
class,3948,5,0.93552786
class,3948,6,0.1044132
class,3948,7,0.18527538
class,3948,8,0.054326504
class,3948,9,0.31788275
class,3949,0,0.08622715
class,3949,1,0.06040292
class,3949,2,0.07370524
class,3949,3,0.8414709
class,3949,4,0.45466712
class,3949,5,0.8116363
class,3949,6,0.1416682
class,3949,7,0.8832061
class,3949,8,0.15414709
class,3949,9,0.8319583
class,3950,0,0.90446824
class,3950,1,0.1909174
class,3950,2,0.7884036
class,3950,3,0.12843058
class,3950,4,0.4266231
class,3950,5,0.12212901
class,3950,6,0.84626806
class,3950,7,0.14216504
class,3950,8,0.9496875
class,3950,9,0.093581095
class,3951,0,0.18705033
class,3951,1,0.8504405
class,3951,2,0.82962686
class,3951,3,0.07926209
class,3951,4,0.1782019
class,3951,5,0.8915831
class,3951,6,0.076737195
class,3951,7,0.9402121
class,3951,8,0.27560964
class,3951,9,0.8206065
class,3952,0,0.932679
class,3952,1,0.101424925
class,3952,2,0.78755707
class,3952,3,0.9402
class,3952,4,0.92716753
class,3952,5,0.12801765
class,3952,6,0.9272564
class,3952,7,0.11881873
class,3952,8,0.9360275
class,3952,9,0.94262815
class,3953,0,0.08461659
class,3953,1,0.8901549
class,3953,2,0.8651865
class,3953,3,0.09468457
class,3953,4,0.14282495
class,3953,5,0.8242015
class,3953,6,0.60955566
class,3953,7,0.93889445
class,3953,8,0.19966984
class,3953,9,0.22010113
class,3954,0,0.14056222
class,3954,1,0.92335755
class,3954,2,0.90609354
class,3954,3,0.8731068
class,3954,4,0.27444243
class,3954,5,0.8451026
class,3954,6,0.7469975
class,3954,7,0.8974157
class,3954,8,0.24745941
class,3954,9,0.11836214
class,3955,0,0.08469422
class,3955,1,0.92476326
class,3955,2,0.879069
class,3955,3,0.93065256
class,3955,4,0.18126145
class,3955,5,0.94076294
class,3955,6,0.9577365
class,3955,7,0.94102424
class,3955,8,0.9405701
class,3955,9,0.9124253
class,3956,0,0.13243899
class,3956,1,0.8488492
class,3956,2,0.09942436
class,3956,3,0.15025482
class,3956,4,0.77951354
class,3956,5,0.118216574
class,3956,6,0.15081696
class,3956,7,0.8827431
class,3956,8,0.74743986
class,3956,9,0.9044063
class,3957,0,0.07636401
class,3957,1,0.8656253
class,3957,2,0.18728489
class,3957,3,0.89816964
class,3957,4,0.34864572
class,3957,5,0.7390166
class,3957,6,0.7813926
class,3957,7,0.076575555
class,3957,8,0.058413874
class,3957,9,0.2132635
class,3958,0,0.093714885
class,3958,1,0.9352752
class,3958,2,0.08987805
class,3958,3,0.10515144
class,3958,4,0.29622465
class,3958,5,0.35681534
class,3958,6,0.90730023
class,3958,7,0.9150713
class,3958,8,0.833368
class,3958,9,0.8646686
class,3959,0,0.1868493
class,3959,1,0.13323723
class,3959,2,0.9239297
class,3959,3,0.9007388
class,3959,4,0.91360277
class,3959,5,0.9108927
class,3959,6,0.43112814
class,3959,7,0.8814199
class,3959,8,0.93985856
class,3959,9,0.80449545
class,3960,0,0.94703555
class,3960,1,0.9456749
class,3960,2,0.9108383
class,3960,3,0.16206475
class,3960,4,0.95022005
class,3960,5,0.951528
class,3960,6,0.17653655
class,3960,7,0.86975145
class,3960,8,0.9732314
class,3960,9,0.94794786
class,3961,0,0.102057755
class,3961,1,0.91787314
class,3961,2,0.1949237
class,3961,3,0.9078615
class,3961,4,0.2042227
class,3961,5,0.18511501
class,3961,6,0.5571484
class,3961,7,0.06752782
class,3961,8,0.15066737
class,3961,9,0.16305408
class,3962,0,0.9383076
class,3962,1,0.16097677
class,3962,2,0.85650873
class,3962,3,0.9194915
class,3962,4,0.9552567
class,3962,5,0.91209006
class,3962,6,0.9028183
class,3962,7,0.94136155
class,3962,8,0.14770803
class,3962,9,0.9487751
class,3963,0,0.90363276
class,3963,1,0.86392975
class,3963,2,0.20037624
class,3963,3,0.93701476
class,3963,4,0.13674144
class,3963,5,0.09235577
class,3963,6,0.7509911
class,3963,7,0.12966198
class,3963,8,0.11412161
class,3963,9,0.1460557
class,3964,0,0.93367124
class,3964,1,0.9214325
class,3964,2,0.25209793
class,3964,3,0.9500901
class,3964,4,0.8504287
class,3964,5,0.15869823
class,3964,6,0.85941404
class,3964,7,0.056889094
class,3964,8,0.21407557
class,3964,9,0.93270665
class,3965,0,0.90463084
class,3965,1,0.069206804
class,3965,2,0.18752056
class,3965,3,0.10290423
class,3965,4,0.8834615
class,3965,5,0.119453914
class,3965,6,0.29828534
class,3965,7,0.14125589
class,3965,8,0.82160836
class,3965,9,0.85399574
class,3966,0,0.16962606
class,3966,1,0.16766718
class,3966,2,0.86371446
class,3966,3,0.93045455
class,3966,4,0.90529335
class,3966,5,0.5195845
class,3966,6,0.09648582
class,3966,7,0.10146672
class,3966,8,0.8750265
class,3966,9,0.9082333
class,3967,0,0.09286394
class,3967,1,0.9066141
class,3967,2,0.8527224
class,3967,3,0.9039124
class,3967,4,0.06772185
class,3967,5,0.8692263
class,3967,6,0.9198981
class,3967,7,0.13673739
class,3967,8,0.22467777
class,3967,9,0.9052018
class,3968,0,0.93645495
class,3968,1,0.9281867
class,3968,2,0.91034067
class,3968,3,0.13394178
class,3968,4,0.14657708
class,3968,5,0.8718107
class,3968,6,0.15112665
class,3968,7,0.8582351
class,3968,8,0.94161123
class,3968,9,0.86831206
class,3969,0,0.08552804
class,3969,1,0.93232095
class,3969,2,0.6312053
class,3969,3,0.09794962
class,3969,4,0.82331717
class,3969,5,0.8574831
class,3969,6,0.14697447
class,3969,7,0.12977499
class,3969,8,0.14903164
class,3969,9,0.21901344
class,3970,0,0.11044016
class,3970,1,0.14629847
class,3970,2,0.7958861
class,3970,3,0.87792563
class,3970,4,0.37089404
class,3970,5,0.09075305
class,3970,6,0.8436444
class,3970,7,0.9226891
class,3970,8,0.22610433
class,3970,9,0.085228376
class,3971,0,0.07539232
class,3971,1,0.07287028
class,3971,2,0.15762204
class,3971,3,0.10589525
class,3971,4,0.62499243
class,3971,5,0.1467351
class,3971,6,0.2080343
class,3971,7,0.09798974
class,3971,8,0.17635871
class,3971,9,0.8155618
class,3972,0,0.14809676
class,3972,1,0.12931556
class,3972,2,0.79787576
class,3972,3,0.84275866
class,3972,4,0.27069622
class,3972,5,0.85826826
class,3972,6,0.7720031
class,3972,7,0.12673491
class,3972,8,0.06292744
class,3972,9,0.8706577
class,3973,0,0.11011589
class,3973,1,0.8835064
class,3973,2,0.11516562
class,3973,3,0.08349794
class,3973,4,0.8652496
class,3973,5,0.10717325
class,3973,6,0.0914529
class,3973,7,0.80632734
class,3973,8,0.13994695
class,3973,9,0.8809692
class,3974,0,0.899823
class,3974,1,0.9510166
class,3974,2,0.91854364
class,3974,3,0.09413447
class,3974,4,0.18993467
class,3974,5,0.3285051
class,3974,6,0.17993012
class,3974,7,0.9124521
class,3974,8,0.8482543
class,3974,9,0.06362393
class,3975,0,0.94404024
class,3975,1,0.21024847
class,3975,2,0.9227676
class,3975,3,0.9237251
class,3975,4,0.3183502
class,3975,5,0.078893475
class,3975,6,0.9191774
class,3975,7,0.115099974
class,3975,8,0.9412516
class,3975,9,0.86370814
class,3976,0,0.8888845
class,3976,1,0.06174794
class,3976,2,0.9200067
class,3976,3,0.93888533
class,3976,4,0.9309843
class,3976,5,0.9264214
class,3976,6,0.9160878
class,3976,7,0.2502269
class,3976,8,0.958215
class,3976,9,0.9304031
class,3977,0,0.11547654
class,3977,1,0.08835257
class,3977,2,0.2263122
class,3977,3,0.9089345
class,3977,4,0.44398445
class,3977,5,0.10076336
class,3977,6,0.14332786
class,3977,7,0.9313237
class,3977,8,0.06679766
class,3977,9,0.15033492
class,3978,0,0.10471647
class,3978,1,0.07183363
class,3978,2,0.9058255
class,3978,3,0.89029384
class,3978,4,0.8531134
class,3978,5,0.16879293
class,3978,6,0.07781612
class,3978,7,0.92095613
class,3978,8,0.8374215
class,3978,9,0.457752
class,3979,0,0.9306614
class,3979,1,0.17800106
class,3979,2,0.56570786
class,3979,3,0.11106613
class,3979,4,0.121045016
class,3979,5,0.88990206
class,3979,6,0.86311376
class,3979,7,0.8657259
class,3979,8,0.9123617
class,3979,9,0.120751664
class,3980,0,0.9375446
class,3980,1,0.086314656
class,3980,2,0.8629004
class,3980,3,0.91578454
class,3980,4,0.25979552
class,3980,5,0.09497846
class,3980,6,0.820407
class,3980,7,0.91690767
class,3980,8,0.10924217
class,3980,9,0.72909325
class,3981,0,0.075812265
class,3981,1,0.8897236
class,3981,2,0.7993184
class,3981,3,0.89881814
class,3981,4,0.30755052
class,3981,5,0.3934499
class,3981,6,0.09326592
class,3981,7,0.057495207
class,3981,8,0.16902964
class,3981,9,0.097808674
class,3982,0,0.9052685
class,3982,1,0.10426422
class,3982,2,0.035979405
class,3982,3,0.8403683
class,3982,4,0.7237811
class,3982,5,0.9098168
class,3982,6,0.2683696
class,3982,7,0.18164732
class,3982,8,0.8495835
class,3982,9,0.28083152
class,3983,0,0.8798015
class,3983,1,0.09169565
class,3983,2,0.62816596
class,3983,3,0.9334807
class,3983,4,0.1858357
class,3983,5,0.29544747
class,3983,6,0.949164
class,3983,7,0.90743995
class,3983,8,0.860659
class,3983,9,0.06517815
class,3984,0,0.134429
class,3984,1,0.14139324
class,3984,2,0.82581335
class,3984,3,0.9269531
class,3984,4,0.5736649
class,3984,5,0.7487632
class,3984,6,0.13369654
class,3984,7,0.91818637
class,3984,8,0.09044137
class,3984,9,0.74640036
class,3985,0,0.9378531
class,3985,1,0.89229995
class,3985,2,0.14643152
class,3985,3,0.09789797
class,3985,4,0.8333844
class,3985,5,0.11647115
class,3985,6,0.08299007
class,3985,7,0.8909106
class,3985,8,0.8747954
class,3985,9,0.13452685
class,3986,0,0.08780683
class,3986,1,0.87993646
class,3986,2,0.11060777
class,3986,3,0.05905206
class,3986,4,0.35474154
class,3986,5,0.08718093
class,3986,6,0.15718938
class,3986,7,0.06735057
class,3986,8,0.5752721
class,3986,9,0.65267825
class,3987,0,0.29117957
class,3987,1,0.90111893
class,3987,2,0.15009853
class,3987,3,0.07912402
class,3987,4,0.82497525
class,3987,5,0.29160485
class,3987,6,0.82418686
class,3987,7,0.9317459
class,3987,8,0.7944475
class,3987,9,0.069484584
class,3988,0,0.40567687
class,3988,1,0.060091868
class,3988,2,0.11271944
class,3988,3,0.08402525
class,3988,4,0.40302125
class,3988,5,0.8209482
class,3988,6,0.11808529
class,3988,7,0.86053216
class,3988,8,0.12722349
class,3988,9,0.1306882
class,3989,0,0.14946687
class,3989,1,0.901632
class,3989,2,0.16954625
class,3989,3,0.100822985
class,3989,4,0.8874667
class,3989,5,0.9384662
class,3989,6,0.14495568
class,3989,7,0.8423269
class,3989,8,0.95011413
class,3989,9,0.872557
class,3990,0,0.929581
class,3990,1,0.8184207
class,3990,2,0.2674251
class,3990,3,0.90061104
class,3990,4,0.09048044
class,3990,5,0.1517311
class,3990,6,0.8844188
class,3990,7,0.17906092
class,3990,8,0.8714864
class,3990,9,0.12699719
class,3991,0,0.8758178
class,3991,1,0.059220303
class,3991,2,0.06805077
class,3991,3,0.89982885
class,3991,4,0.8412257
class,3991,5,0.9107538
class,3991,6,0.9124876
class,3991,7,0.9270141
class,3991,8,0.26691526
class,3991,9,0.08053624
class,3992,0,0.9020541
class,3992,1,0.13404784
class,3992,2,0.32778293
class,3992,3,0.90101945
class,3992,4,0.14941014
class,3992,5,0.89595914
class,3992,6,0.30360797
class,3992,7,0.7962523
class,3992,8,0.10804136
class,3992,9,0.9346554
class,3993,0,0.8625949
class,3993,1,0.06580627
class,3993,2,0.8400765
class,3993,3,0.106798775
class,3993,4,0.24981357
class,3993,5,0.9144387
class,3993,6,0.11910656
class,3993,7,0.8567442
class,3993,8,0.95122427
class,3993,9,0.9039873
class,3994,0,0.088654816
class,3994,1,0.06381889
class,3994,2,0.19186272
class,3994,3,0.10838345
class,3994,4,0.086761706
class,3994,5,0.118166015
class,3994,6,0.73830634
class,3994,7,0.07056154
class,3994,8,0.9119648
class,3994,9,0.12003257
class,3995,0,0.109241955
class,3995,1,0.21255465
class,3995,2,0.14808461
class,3995,3,0.9368875
class,3995,4,0.9084439
class,3995,5,0.8869656
class,3995,6,0.121649876
class,3995,7,0.8744836
class,3995,8,0.07201238
class,3995,9,0.87392896
class,3996,0,0.8919706
class,3996,1,0.10141121
class,3996,2,0.80789393
class,3996,3,0.07764771
class,3996,4,0.2994492
class,3996,5,0.7924573
class,3996,6,0.25936085
class,3996,7,0.120302565
class,3996,8,0.23797192
class,3996,9,0.8976
class,3997,0,0.15790322
class,3997,1,0.09535997
class,3997,2,0.16671625
class,3997,3,0.09994163
class,3997,4,0.19686809
class,3997,5,0.34366456
class,3997,6,0.14037189
class,3997,7,0.1233459
class,3997,8,0.5746188
class,3997,9,0.15087752
class,3998,0,0.10780987
class,3998,1,0.87851995
class,3998,2,0.806382
class,3998,3,0.8722508
class,3998,4,0.87372035
class,3998,5,0.06261835
